,product_name,product_url,category,status,stars
1232,Men Sports Shoes Runners Lightweight (Yellow-Black),https://yoshops.com/products/men-sports-shoes-runners-lightweight-yellow-black,Kids,unreviewed,
1233,Men Sports Shoes Runners Lightweight (White-Blue),https://yoshops.com/products/men-sports-shoes-runners-lightweight-white-blue,Kids,Reviewd,5.0 star rating
1234,Casual Leather Sneakers for Men (Red+Blue),https://yoshops.com/products/casual-leather-sneakers-for-men-red-blue1,Kids,Reviewd,5.0 star rating
1235,Casual Sneakers Leather for Men (White+Black),https://yoshops.com/products/casual-sneakers-leather-for-men-white-black,Kids,Reviewd,5.0 star rating
1236,Red Top Genuine Leather Shoes for Men (Brown),https://yoshops.com/products/red-top-genuine-leather-shoes-for-men-brown,Kids,Reviewd,5.0 star rating
1237,DOMYOS S500 Boys Gym Sports Half-Sleeved T-Shirt (Grey),https://yoshops.com/products/domyos-s500-gym-sports-half-sleeved-t-shirt-grey,Kids Clothing,unreviewed,
1238,KALENJI Kids Unisex Gym Sports T-Shirt (Blue),https://yoshops.com/products/kalenji-unisex-gym-sports-t-shirt-blue,Kids Clothing,unreviewed,
1239,Boys Half-Sleeved Gym KidsT-Shirt DOMYOS 100 (White),https://yoshops.com/products/domyos-100-boys-half-sleeved-gym-kidst-shirt-white,Kids Clothing,unreviewed,
1240,PUBG T-Shirt Half Sleeve Round Neck (Black),https://yoshops.com/products/pubg-t-shirt-half-sleeve-round-neck-black,Kids Clothing,unreviewed,
1241,Navy Blue Canvas shoe for Boys,https://yoshops.com/products/navy-blue-canvas-shoe-for-boys,Shoes,unreviewed,
1242,Yo Lifestyle White with Blue strike Color Casual Shoes,https://yoshops.com/products/yo-lifestyle-white-with-blue-strike-color-casual-shoes,Shoes,unreviewed,
1243,Yo Lifestyle Black Color Casual Shoes,https://yoshops.com/products/yo-lifestyle-black-color-casual-shoes,Shoes,unreviewed,
1244,Men Formal Shoes Black Color With Free Sunglasses,https://yoshops.com/products/men-formal-shoes-black-color-with-free-sunglasses,Shoes,unreviewed,
1245,Runners Lightweight Sports shoes for Men (Black),https://yoshops.com/products/runners-lightweight-sports-shoes-for-men-black,Shoes,unreviewed,
1246,Men Sports Shoes Runners Lightweight (Yellow-Black),https://yoshops.com/products/men-sports-shoes-runners-lightweight-yellow-black,Shoes,unreviewed,
1247,Men Sports Shoes Runners Lightweight (White-Blue),https://yoshops.com/products/men-sports-shoes-runners-lightweight-white-blue,Shoes,Reviewd,5.0 star rating
1248,Casual Leather Sneakers for Men (Red+Blue),https://yoshops.com/products/casual-leather-sneakers-for-men-red-blue1,Shoes,Reviewd,5.0 star rating
1249,Casual Sneakers Leather for Men (White+Black),https://yoshops.com/products/casual-sneakers-leather-for-men-white-black,Shoes,Reviewd,5.0 star rating
1250,Red Top Genuine Leather Shoes for Men (Brown),https://yoshops.com/products/red-top-genuine-leather-shoes-for-men-brown,Shoes,Reviewd,5.0 star rating
1251,1KG Chicken Biryani (Chennai),https://yoshops.com/products/1-kg-chicken-biryani,Foods,Reviewd,5.0 star rating
1252,1 Bucket Chicken Biryani Party Pack 5kg (Chennai),https://yoshops.com/products/1-bucket-chechen-biryani-party-pack-5kg,Foods,Reviewd,5.0 star rating
1253,Quarter Chicken Biryani (Chennai),https://yoshops.com/products/quarter-chicken-biryanichennai,Foods,unreviewed,
1254,Country Chicken (Desi Murga) raw with skin 1kg(Berhampur),https://yoshops.com/products/country-chicken-desi-murga-raw-with-skin-1kg-berhampur1,Foods,unreviewed,
1255,Combo Meal Chicken Biriyani (Chennai),https://yoshops.com/products/combo-meal-chechen-biriyani,Foods,unreviewed,
1256,Fresh Mushrooms Button 200gm (Berhampur),https://yoshops.com/products/fresh-mushrooms-button-200gm-berhampur,Foods,unreviewed,
1257,Chicken Pakora-200Gm (Chennai),https://yoshops.com/products/chicken-pakora-200gm,Foods,unreviewed,
1258,River Prawn Small- 4cm 250gm(Berhampur),https://yoshops.com/products/river-prawn-small-4cm-250gm-berhampur,Foods,unreviewed,
1259,Mutton Curry Cut 500gm (Berhampur),https://yoshops.com/products/mutton-curry-cut-500gm-berhampur,Foods,unreviewed,
1260,Berhampur Special Masala Papad 250gm,https://yoshops.com/products/pappad-250gm-berhampur,Foods,unreviewed,
1261,KING'S CLASSIC INSTANT COFFEE,https://yoshops.com/products/king-s-classic-instant-coffee-100-gm,Foods,unreviewed,
1262,FERNWEH ORIGINALS INSTANT COFFEE,https://yoshops.com/products/fernweh-originals-instant-coffee1,Foods,unreviewed,
1263,Organic Raw Honey 250Gms,https://yoshops.com/products/organic-raw-honey-250gms,Foods,unreviewed,
1264,Mutton Biriyani Plate 1/2kg. (Chennai),https://yoshops.com/products/mutton-biriyani,Foods,unreviewed,
1265,Egg Biriyani Plate 1/2 kg. (Chennai),https://yoshops.com/products/egg-biriyani,Foods,unreviewed,
1266,Chicken Biryani Plate(Chennai),https://yoshops.com/products/chicken-biryani,Foods,unreviewed,
1267,Rohu River Fish Raw 1Kg(Berhampur),https://yoshops.com/products/rohu-river-fish-raw-1kg-berhampur,Foods,unreviewed,
